sample_id,sex,enrollment_site
S0001,F,Site A
S0002,M,Site A
S0003,F,Site B
S0004,F,Site B
S0005,M,Site A
S0006,F,Site B
S0007,Unknown,Site A
S0008,M,Site A
S0009,F,Site A
S0010,F,Site C
S0011,M,Site B
S0012,Unknown,Site B
S0013,Unknown,Site A
S0014,F,Site B
S0015,F,Site B
S0016,F,Site C
S0017,M,Site C
S0018,Unknown,Site B
S0019,Unknown,Site B
S0020,M,Site B
S0021,M,Site C
S0022,M,Site A
S0023,M,Site A
S0024,M,Site B
S0025,F,Site C
S0026,Unknown,Site C
S0027,M,Site C
S0028,M,Site A
S0029,F,Site C
S0030,Unknown,Site C
S0031,M,Site B
S0032,F,Site C
S0033,Unknown,Site B
S0034,M,Site C
S0035,Unknown,Site C
S0036,F,Site A
S0037,Unknown,Site C
S0038,Unknown,Site B
S0039,Unknown,Site C
S0040,M,Site C
S0041,M,Site A
S0042,M,Site A
S0043,F,Site A
S0044,Unknown,Site A
S0045,Unknown,Site C
S0046,Unknown,Site C
S0047,F,Site B
S0048,M,Site A
S0049,F,Site B
S0050,F,Site A
S0051,Unknown,Site A
S0052,M,Site B
S0053,Unknown,Site B
S0054,M,Site C
S0055,Unknown,Site A
S0056,Unknown,Site B
S0057,M,Site C
S0058,F,Site B
S0059,M,Site C
S0060,M,Site B
